BranchCode,YearOpened,MonthOpened,QuaterOpened,LocationCluster,StoreType,edcType,StoreProvince
2,2005,11,Q4,Downtown,CJSUPERMARKET,Welfare,Ratchaburi
4,2006,1,Q1,Downtown,CJSUPERMARKET,Welfare,Kanchanaburi
8,2006,8,Q3,Oasis,CJSUPERMARKET,Welfare,Ratchaburi
10,2006,12,Q4,Oasis,CJSUPERMARKET,Welfare,Kanchanaburi
12,2007,4,Q2,Oasis,CJSUPERMARKET,Welfare,Nakhon Pathom
13,2007,7,Q3,CityEdge,CJSUPERMARKET,Welfare,Nakhon Pathom
15,2007,8,Q3,Oasis,CJSUPERMARKET,Welfare,Nakhon Pathom
16,2007,10,Q4,Oasis,CJSUPERMARKET,Welfare,Suphan Buri
17,2008,4,Q2,Oasis,CJSUPERMARKET,Welfare,Suphan Buri
19,2008,7,Q3,Oasis,CJSUPERMARKET,Welfare,Suphan Buri
20,2008,10,Q4,Downtown,CJSUPERMARKET,Welfare,Suphan Buri
21,2008,12,Q4,Oasis,CJSUPERMARKET,Welfare,Suphan Buri
22,2009,1,Q1,Oasis,CJSUPERMARKET,Welfare,Kanchanaburi
23,2009,3,Q1,Oasis,CJSUPERMARKET,Welfare,Suphan Buri
24,2009,3,Q1,Oasis,CJSUPERMARKET,Welfare,Suphan Buri
25,2009,7,Q3,Oasis,CJSUPERMARKET,Welfare,Ratchaburi
28,2009,9,Q3,Downtown,CJSUPERMARKET,Welfare,Suphan Buri
29,2009,9,Q3,CityEdge,CJSUPERMARKET,Welfare,Ratchaburi
30,2009,10,Q4,Oasis,CJSUPERMARKET,Welfare,Ratchaburi
32,2009,11,Q4,Oasis,CJSUPERMARKET,Welfare,Uthai Thani
33,2009,12,Q4,Oasis,CJSUPERMARKET,Welfare,Samut Sakhon
34,2009,12,Q4,Downtown,CJSUPERMARKET,Welfare,Kanchanaburi
35,2009,12,Q4,Downtown,CJSUPERMARKET,Welfare,Phetchaburi
36,2010,1,Q1,Downtown,CJSUPERMARKET,Welfare,Suphan Buri
37,2010,2,Q1,Oasis,CJSUPERMARKET,Welfare,Uthai Thani
38,2010,3,Q1,Oasis,CJSUPERMARKET,Welfare,Suphan Buri
