product_cat_lv1,product_cat_lv2,product_cat_lv3
beverages,fruit juice,100% juice
beverages,health tonics,bird's nest
beverages,bottled water,bottled water
beverages,powder health tonic,cocoa powder
beverages,coffee,coffee
beverages,coffee,coffee capsule
beverages,coffee,coffee creamers
beverages,coffee,coffee machine and accessories
beverages,soft drink and mixers,cola
beverages,soft drink and mixers,concentrated drinks
beverages,fruit juice,concentrated juice
beverages,bottled water,drinking water
beverages,functional drinks,energy and sports drinks
beverages,health tonics,essence of chicken
beverages,health tonics,chicken essence basket
beverages,soft drink and mixers,flavored soft drinks
beverages,uht milk,flavored uht milk
beverages,fruit juice,fresh juice
beverages,fruit juice,fruit juice
beverages,functional drinks,functional drinks
beverages,health tonics,health tonics
beverages,fruit juice,herbal juice
beverages,tea,herbal tea
beverages,powder health tonic,instant chocolate and malt powder
beverages,coffee,instant coffee
beverages,coffee,instant coffee mixes
beverages,tea,instant tea mix
beverages,fruit juice,jelly juice
beverages,uht milk,maternity uht milk
beverages,bottled water,mineral water
beverages,fruit juice,mixed juice
beverages,non alcoholic,non-alcoholic
beverages,health tonics,nutrition drinks
beverages,uht milk,plain uht milk
beverages,powder health tonic,powder health tonic
beverages,coffee,ready to drink coffee
beverages,tea,ready to drink tea
beverages,coffee,roast and ground coffee
beverages,soft drink and mixers,soda and mixers
beverages,soft drink mixers,soft drink mixers
beverages,powder health tonic,soy and cereal beverages
beverages,health tonics,speacialty milk powder
beverages,health tonics,sterilized milk
beverages,tea,tea
beverages,tea,tea bag
beverages,tea,tea leaves
beverages,uht milk,uht dairy free
beverages,uht milk,uht milk
beverages,uht milk,uht yogurt drink
beverages,bottled water,vitamin water
fresh food bakery,bakery,bakery
fresh food bakery,cheese,blue cheese
fresh food bakery,butter cream,butter
fresh food bakery,butter cream,butter cream
fresh food bakery,bakery,cakes
fresh food bakery,cheese,cheese
fresh food bakery,cheese,cheese spread and snack
fresh food bakery,chilled foods,chilled foods
fresh food bakery,chilled foods,chilled local deli
fresh food bakery,deli meat,chinese sausage and dried meat
fresh food bakery,butter cream,cooking cream
fresh food bakery,cheese,cream and cottage cheese
fresh food bakery,bakery,croissants
fresh food bakery,fresh milk,dairy free milk
fresh food bakery,yogurt,dairy free yogurt
fresh food bakery,bakery,danish puff pastry
fresh food bakery,deli meat,deli meat
fresh food bakery,yogurt,drinking yogurt
fresh food bakery,egg,egg
fresh food bakery,bakery,european bread
fresh food bakery,fresh milk,flavored milk
fresh food bakery,yogurt,flavored yogurt
fresh food bakery,frozen food,french fries
fresh food bakery,egg,fresh eggs
fresh food bakery,fresh milk,fresh milk
fresh food bakery,tofu and fresh noodle,fresh noodle
fresh food bakery,frozen food,frozen food
fresh food bakery,frozen food,frozen fruit
fresh food bakery,frozen food,frozen meals
fresh food bakery,frozen food,frozen vegetables
fresh food bakery,deli meat,ham and bacon
fresh food bakery,cheese,hard cheese
fresh food bakery,chilled foods,japanese and korean deli
fresh food bakery,deli meat,local sausages
fresh food bakery,butter cream,margarine
fresh food bakery,deli meat,meat balls and surimi
fresh food bakery,cheese,other cheeses
fresh food bakery,deli meat,pate foie gras
fresh food bakery,fresh milk,plain milk
fresh food bakery,yogurt,plain yogurt
fresh food bakery,egg,preserved eggs
fresh food bakery,chilled foods,ready to eat meal
fresh food bakery,bakery,rolls and buns
fresh food bakery,deli meat,sausages
fresh food bakery,cheese,semi hard cheese
fresh food bakery,cheese,sliced and grated cheese
fresh food bakery,bakery,sliced bread
fresh food bakery,deli meat,smoked meat
fresh food bakery,cheese,soft cheese
fresh food bakery,butter cream,sour cream
fresh food bakery,tofu and fresh noodle,tofu 
fresh food bakery,tofu fresh noodle,tofu fresh noodle
fresh food bakery,chilled foods,western deli
fresh food bakery,butter cream,whipping cream
fresh food bakery,bakery,wraps pittas and naan
fresh food bakery,yogurt,yogurt
fruit and vegetables,fresh fruit,apples and pears
fruit and vegetables,salad,bagged and ready salad
fruit and vegetables,preserved fruit and vegetables,dried fruits
fruit and vegetables,vegetables,dried vegetables
fruit and vegetables,fresh fruit,fresh fruit
fruit and vegetables,vegetables,fresh vegetables
fruit and vegetables,preserved fruit and vegetables,fruit desserts
fruit and vegetables,preserved fruit and vegetables,fruit dipping
fruit and vegetables,fresh fruit,grapes cherries berries
fruit and vegetables,fresh fruit,in season
fruit and vegetables,vegetables,mushroom
fruit and vegetables,fresh fruit,orange and pomelo
fruit and vegetables,fresh fruit,other fruits
fruit and vegetables,preserved fruit vegetables,preserved fruit vegetables
fruit and vegetables,preserved fruit and vegetables,preserved vegetables
fruit and vegetables,salad,salad
fruit and vegetables,fresh fruit,tropical fruits and melon
fruit and vegetables,vegetables,vegetables
health and beauty care,facial care,acne medication
health and beauty care,incontinence,adult diapers pant
health and beauty care,incontinence,adult diapers tape
health and beauty care,body care,bar soap
health and beauty care,incontinence,bed liners
health and beauty care,makeup,blush on
health and beauty care,body care,body care
health and beauty care,body care,body care accessories
health and beauty care,body care,body lotion
health and beauty care,body care,health and beauty care
health and beauty care,health and supplement,condoms and lubricants
health and beauty care,health and supplement,night sanitary napkin
health and beauty care,health and supplement,day sanitary napkin
health and beauty care,health and supplement,panty liners
health and beauty care,facial care,cotton and accessories
health and beauty care,hand and foot care,cream and lotion
health and beauty care,oral care,dental care
health and beauty care,body care,deodorants and body scent
health and beauty care,facial care,eye care
health and beauty care,makeup,eyes and brows
health and beauty care,facial care,facial blotters and wipes
health and beauty care,facial care,facial care
health and beauty care,facial care,facial cleanser
health and beauty care,facial care,facial mask
health and beauty care,facial care,facial moisturizer
health and beauty care,facial care,facial sunscreen
health and beauty care,facial care,facial toner
health and beauty care,health and supplement,first aid and bandages
health and beauty care,makeup,foundation and facial powder
health and beauty care,hair care,hair accessories
health and beauty care,hair care,hair care
health and beauty care,hair care,hair coloring
health and beauty care,hair care,hair conditioner
health and beauty care,hair care,hair styling
health and beauty care,hair care,hair treatment
health and beauty care,hand and foot care,hand soap
health and beauty care,health and supplement,health care equipment
health and beauty care,body care,feminine wash
health and beauty care,health supplement,health and supplement
health and beauty care,hand and foot care,heel care accessories
health and beauty care,incontinence,incontinence accessories
health and beauty care,incontinence,incontinence pads
health and beauty care,health and supplement,inhalant and balms
health and beauty care,facial care,lip care
health and beauty care,makeup,lips
health and beauty care,body care,liquid soap
health and beauty care,makeup,makeup accessories
health and beauty care,facial care,makeup remover
