Class Code,Class Name,Sub Code,Sub Class Name,Size,Product ID,Product Name
10100,CIGARETTES,10101,LOCAL,S,20006607,กรองทิพย์บุหรี่90
10100,CIGARETTES,10101,LOCAL,S,20006609,กรุงทองบุหรี่90
10100,CIGARETTES,10101,LOCAL,S,20020492,วันเดอร์เอสบุหรี่เขียว
10100,CIGARETTES,10101,LOCAL,S,20020491,วันเดอร์เอสบุหรี่แดง
10100,CIGARETTES,10101,LOCAL,S,20006608,สายฝนบุหรี่90
10100,CIGARETTES,10101,LOCAL,S,20003385,เอสเอ็มเอสบุหรี่เขียว
10100,CIGARETTES,10101,LOCAL,S,20003384,เอสเอ็มเอสบุหรี่แดง
10100,CIGARETTES,10102,IMPORT,S,20023904,เพลย์ออฟบุหรี่แดง
10100,CIGARETTES,10102,IMPORT,S,20000023004,มาร์ลโบโรแดงซองแข็ง
10100,CIGARETTES,10102,IMPORT,S,20000023005,มาร์ลโบโรแบล็คทูซองแข็ง
10100,CIGARETTES,10102,IMPORT,S,20008985,มาร์ลโบโรอาร์กติกเอ็กซ์
10100,CIGARETTES,10102,IMPORT,S,20008065,ไลน์บุหรี่เขียว7.1
10100,CIGARETTES,10102,IMPORT,S,20007825,แอล&เอ็มเขียวซองอ่อน
10100,CIGARETTES,10102,IMPORT,S,20000076002,แอล&เอ็มแดงซองแข็ง
10100,CIGARETTES,10102,IMPORT,S,20007826,แอล&เอ็มแดงซองอ่อน
10100,CIGARETTES,10102,IMPORT,S,20003387,แอล&เอ็มเมนทอล 7.1mm
10100,CIGARETTES,10102,IMPORT,S,20002216,แอล&เอ็มสตรอม 7.1mm
10100,CIGARETTES,10102,IMPORT,S,20003386,แอล&เอ็มออริจินอล 7.1mm
10100,CIGARETTES,10102,IMPORT,S,20023903,ไอสกอร์บุหรี่5.0
10100,CIGARETTES,10102,IMPORT,S,20023902,ไอสกอร์บุหรี่เขียว
10100,CIGARETTES,10102,IMPORT,S,20023901,ไอสกอร์บุหรี่แดง
10200,SPIRITS,10201,BRANDY,S,20006754,รีเจนซี่บรั่นดี350ml
10200,SPIRITS,10201,BRANDY,M,20006755,รีเจนซี่บรั่นดี700ml
10200,SPIRITS,10201,BRANDY,L,20017833,แสงโสม1000ml
10200,SPIRITS,10202,RTD,S,20029475,ชอมชูลอมโซจูรสพีช360ml
10200,SPIRITS,10202,RTD,S,20029477,ชอมชูลอมโซจูรสสตรอเบอร์รี่360ml
10200,SPIRITS,10202,RTD,S,20001426,ฟลูมูลดาร์ค275ml
10200,SPIRITS,10202,RTD,S,20015065,สเมอร์นอฟแบล็คไอซ์275ml
10200,SPIRITS,10202,RTD,S,20015067,สเมอร์นอฟแบล็คไอซ์แคน250ml
10200,SPIRITS,10202,RTD,S,20003824,สเมอร์น็อฟไอซ์275ml
10200,SPIRITS,10202,RTD,S,20003823,สเมอร์น๊อฟไอซ์กรีนแอปเปิ้ลไบท์275ml
10200,SPIRITS,10202,RTD,S,20015066,สเมอร์นอฟไอซ์แคน250ml
10200,SPIRITS,10202,RTD,S,20023919,สเมอร์นอฟไอซ์อูเมะชู275ml
10200,SPIRITS,10203,WHITE SPIRITS,M,20005106,กิลบีส์วอดก้า700ml
10200,SPIRITS,10203,WHITE SPIRITS,S,20013248,ตะวันแดงสุราขาว30ดีกรี 330ml
10200,SPIRITS,10203,WHITE SPIRITS,M,20013247,ตะวันแดงสุราขาว30ดีกรี 625ml
10200,SPIRITS,10203,WHITE SPIRITS,S,20013250,ตะวันแดงสุราขาว35ดีกรี 330ml
10200,SPIRITS,10203,WHITE SPIRITS,M,20013249,ตะวันแดงสุราขาว35ดีกรี 625ml
10200,SPIRITS,10203,WHITE SPIRITS,S,20013252,ตะวันแดงสุราขาว40ดีกรี 330ml
10200,SPIRITS,10203,WHITE SPIRITS,M,20013251,ตะวันแดงสุราขาว40ดีกรี 625ml
10200,SPIRITS,10203,WHITE SPIRITS,S,20021340,ตะวันแดงสุราข้าวหอม30ดีกรี 330ml
10200,SPIRITS,10203,WHITE SPIRITS,M,20021342,ตะวันแดงสุราข้าวหอม30ดีกรี 625ml
10200,SPIRITS,10203,WHITE SPIRITS,S,20021339,ตะวันแดงสุราข้าวหอม35ดีกรี 330ml
10200,SPIRITS,10203,WHITE SPIRITS,M,20021343,ตะวันแดงสุราข้าวหอม35ดีกรี 625ml
10200,SPIRITS,10203,WHITE SPIRITS,S,20021341,ตะวันแดงสุราข้าวหอม40ดีกรี 330ml
10200,SPIRITS,10203,WHITE SPIRITS,M,20021344,ตะวันแดงสุราข้าวหอม40ดีกรี 625ml
10200,SPIRITS,10203,WHITE SPIRITS,M,20005103,ไทยสาโทเบียร์ขวด620ml
10200,SPIRITS,10203,WHITE SPIRITS,M,20016219,รวงข้าวซิลส์สุราขาว35ดีกรี700ml
10200,SPIRITS,10203,WHITE SPIRITS,S,20013843,รวงข้าวสุราขาว30ดีกรี330ml (กาญจน)
10200,SPIRITS,10203,WHITE SPIRITS,S,20013832,รวงข้าวสุราขาว30ดีกรี330ml (เพื่องฟู)
10200,SPIRITS,10203,WHITE SPIRITS,S,20006921,รวงข้าวสุราขาว30ดีกรี330ml (หลักชัย)
10200,SPIRITS,10203,WHITE SPIRITS,M,20013844,รวงข้าวสุราขาว30ดีกรี625ml (กาญจน)
10200,SPIRITS,10203,WHITE SPIRITS,M,20013838,รวงข้าวสุราขาว30ดีกรี625ml (เพื่องฟู)
10200,SPIRITS,10203,WHITE SPIRITS,M,20006920,รวงข้าวสุราขาว30ดีกรี625ml (หลักชัย)
10200,SPIRITS,10203,WHITE SPIRITS,S,20013845,รวงข้าวสุราขาว35ดีกรี330ml (กาญจน)
10200,SPIRITS,10203,WHITE SPIRITS,S,20013839,รวงข้าวสุราขาว35ดีกรี330ml (เพื่องฟู)
10200,SPIRITS,10203,WHITE SPIRITS,S,20006490,รวงข้าวสุราขาว35ดีกรี330ml (หลักชัย)
10200,SPIRITS,10203,WHITE SPIRITS,M,20013846,รวงข้าวสุราขาว35ดีกรี625ml (กาญจน)
10200,SPIRITS,10203,WHITE SPIRITS,M,20013840,รวงข้าวสุราขาว35ดีกรี625ml (เพื่องฟู)
10200,SPIRITS,10203,WHITE SPIRITS,M,20006491,รวงข้าวสุราขาว35ดีกรี625ml (หลักชัย)
10200,SPIRITS,10203,WHITE SPIRITS,S,20005109,รวงข้าวสุราขาว40ดีกรี330ml
10200,SPIRITS,10203,WHITE SPIRITS,S,20013841,รวงข้าวสุราขาว40ดีกรี330ml (เพื่องฟู)
10200,SPIRITS,10203,WHITE SPIRITS,M,20005110,รวงข้าวสุราขาว40ดีกรี625ml
10200,SPIRITS,10203,WHITE SPIRITS,M,20013842,รวงข้าวสุราขาว40ดีกรี625ml (เพื่องฟู)
10200,SPIRITS,10203,WHITE SPIRITS,M,20005101,เรดค็อกวอดก้า700ml
10200,SPIRITS,10203,WHITE SPIRITS,M,20003815,ไลอ้อนสาโท625ml
10200,SPIRITS,10203,WHITE SPIRITS,M,20006871,สุราเชี่ยงชุน625ml
10200,SPIRITS,10203,WHITE SPIRITS,M,20006495,เหยี่ยวเงินสุรา40ดีกรี70cl
10300,BEER,10301,ECONOMY,S,20006606,ช้างคลาสสิคเบียร์กระป๋อง320ml
10300,BEER,10301,ECONOMY,M,20003818,ช้างคลาสสิคเบียร์กระป๋อง490ml
10300,BEER,10301,ECONOMY,XL,20004918,ช้างคลาสสิคเบียร์กระป๋อง490mlx2
10300,BEER,10301,ECONOMY,L,20006605,ช้างคลาสสิคเบียร์ขวด620ml
10300,BEER,10301,ECONOMY,XL,20005112,ช้างคลาสสิคเบียร์ขวด620mlx2
10300,BEER,10301,ECONOMY,M,20025466,แทปเปอร์เอ็กซ์ตร้าเบียร์กระป๋อง490ml
10300,BEER,10301,ECONOMY,M,20025457,มังกรดำเบียร์แดงกระป๋อง490ml
10300,BEER,10301,ECONOMY,M,20025615,มาย์เบียร์กระป๋อง490ml
10300,BEER,10301,ECONOMY,S,20006594,ลีโอเบียร์กระป๋อง 320ml
10300,BEER,10301,ECONOMY,M,20014428,ลีโอเบียร์กระป๋อง 490ml
10300,BEER,10301,ECONOMY,XL,20024241,ลีโอเบียร์กระป๋อง 490mlx2
10300,BEER,10301,ECONOMY,S,20003811,ลีโอเบียร์ขวด 320ml
