,name,product_cat_lv3,conf
0,ดาวน์นี่ปรับผ้าดอกไม้อันแสนสดชื่น,fabric softener,1.0
1,แพนทีนแชมพูแฮร์ฟอล+ครีมนวดทรีมินิท,shampoo,1.0
2,ครัวนภัสน้ำจิ้มสุกี้ย่างเกาหลีรสเผ็ด,seasoning and dipping sauce,1.0
3,ไมโลผงแอคทีฟโก,instant chocolate and malt powder,1.0
4,ชาวเกาะกะทิUHT,coconut milk,1.0
5,มาจิคลีนถูพื้นลิลลี่บูเก้,floor cleaners,1.0
6,ไฮยีนบลีชซักผ้าชมพู,bleach and stain remover,1.0
7,วาสลีนสบู่เฮลตี้ไวท์,body lotion,1.0
8,ยำยำจัมโบ้หมูสับ,instant noodles,1.0
9,พานาโซนิคถ่านอัลคาไลน์LR/,batteries,1.0
10,วิกซอลออกซี่ห้องน้ำสีชมพู,bathroom cleaners,1.0
11,บีทาเก้นพร่องมันเนย(ขวด),drinking yogurt,1.0
12,อิชิตันออร์แกนิคน้ำผึงมะนาว,ready to drink tea,1.0
13,ดาวน์นี่ซักผ้าลิควิคการ์เด้นบลูมถุง,liquid detergent,1.0
14,แอทแทคอีซี่เซ็กซี่สวีท,powder detergent,1.0
15,คอลเกตยาสีฟันเฮอร์เบิ้ลซอลท์,toothpaste,1.0
16,คาร์เนชั่นครีมเทียมข้นหวาน,condensed milk,1.0
17,เป๊ปซี่แมกซ์ราสเบอร์รี่ขวด,cola,1.0
18,ไนซ์อาบน้ำขาวอมชมพูถุง,liquid soap,1.0
19,บีไนซ์อาบน้ำเขียว,liquid soap,1.0
20,ดีนี่ซักผ้าเด็กฟ้าถุง,baby detergent,1.0
21,สมาร์ทเข้มข้นปรับผ้าHappyFresh,fabric softener,1.0
22,บีไนซ์อาบน้ำแอนตี้แบคทีเรียม่วง,liquid soap,1.0
23,ยิลเลตต์โฟมโกนหนวดกลิ่นเมนทอล,shaving and hair remover,1.0
24,ทองการ์เด้นถั่วปากอ้ารสผัดขี้เมา,nuts and seed snacks,1.0
25,โค้ก.,cola,1.0
26,H&Sแชมพูคูลเมนทอล,shampoo,1.0
27,โก๋แก่ถั่วลิสงอบกรอบรสกะทิ,nuts and seed snacks,1.0
28,ไฮยีนรีดเรียบสีชมพูถุง,spray starch,1.0
29,คอลเกตยาสีฟันโปรเฟสชั่นแนลคลีนเจล,toothpaste,1.0
30,ไฮยีนเอ็กซ์เพิร์ทแคร์ปรับผ้าสีดำ,fabric softener,1.0
31,โชกุฯอาบน้ำผิวนุ่มสีชมพู,liquid soap,1.0
32,แพนทีนแชมพูแฮร์ฟอลคอนโทรล,shampoo,1.0
33,วิสกัสเพาซ์จูเนียร์ปลาทูน่า,cat wet food,1.0
34,เปาวินวอชลิควิดสีโอโรส,liquid detergent,1.0
35,นิสชินไก่เผ็ดเกาหลี,instant noodles,1.0
36,โฟร์โมสต์โอเมก้าโกลด์UHTรสจืด,kids uht milk,1.0
37,นีเวียโลชั่นไวท์เรเดียน,body lotion,1.0
38,ดาวน์นี่ปรับผ้าสวีทฮาร์ท,fabric softener,1.0
39,ดัชชี่โยเกิร์ตธรรมชาติ,flavored yogurt,1.0
40,อิงอรสบู่ไพลหอม,bar soap,1.0
41,จอห์นสันบลอสซั่มแป้ง,talcum powder,1.0
42,ศศิแป้งรองพื้น(W).,foundation and facial powder,1.0
43,ไฟน์ไลน์ซักผ้าเข้มข้นโปรคลีน.ชมพู,liquid detergent,1.0
44,สไปร์ทสูตรไม่มีน้ำตาล,flavored soft drinks,1.0
45,ลอตเต้ฟูเซนโนมิโคล่าเลมอน,biscuit and cookies,1.0
46,ซิสเท็มมาแปรงสีฟันนุ่มมาตรฐานx,toothbrush,1.0
47,ซีโร่ถุงขยะแบบหนา,garbage bags,1.0
48,รถพยาบาลสำลีก้อนชนิดเติม,cotton and accessories,1.0
49,แลคตาซอยโกลด์ซีรีย์มัทฉะ,uht dairy free,1.0
50,บิงโกแชมพูปิดผมขาวสีน้ำตาลเข้ม(.),hair coloring,1.0
51,จอห์นสันซัมเมอร์บลูมส์แป้ง,talcum powder,1.0
52,สมาร์ทฮาร์ทสุนัขโตตับรมควัน.,dog dry food,1.0
53,เรโซนาโรลออนไวท์เทนนิ่งเฟรชโรส,deodorants and body scent,1.0
54,เพดดิกรีสุนัขโตตับและผัก,dog dry food,1.0
55,ดูโอแคร์สำลีแผ่นรีดขอบ,cotton and accessories,1.0
56,ไฟน์ไลน์เนเชอรัลปรับผ้าสีม่วง,fabric softener,1.0
57,คอมฟอร์ทปรับผ้าสีม่วง,fabric softener,1.0
58,ธูปหอมสั้น,candles and incense,1.0
59,เด็กสมบูรณ์น้ำจิ้มบ๊วย,seasoning and dipping sauce,1.0
60,แบรนด์ซุปไก่สกัดผสมโสม,essence of chicken,1.0
61,เอสเซ้นส์รีดเรียบสีชมพูหัวฉีด,spray starch,1.0
62,ธูปหอมศรัทธาธรรมธูป,candles and incense,1.0
63,นีเวียดีโอโรลออนพาวเดอร์ทัช,deodorants and body scent,1.0
64,มาจิคลีนถูพื้นสวีทโรส,floor cleaners,1.0
65,แบร์ดี้ลูกอมกลิ่นโคล่า,hard candies,1.0
66,ยำยำจัมโบ้ต้มยำกุ้ง,instant noodles,1.0
67,เซ็นโซดายน์ยาสีฟันโทเทิลแคร์,toothpaste,1.0
68,ออรัลบีแปรงสีฟันอัลตร้าธินกัมแคร์ซอฟท์,toothbrush,1.0
69,คาร์เนชั่น,condensed milk,1.0
70,ไฮยีนเอ็กซ์เพิร์ทปรับผ้าอควา,fabric softener,1.0
71,ไฟน์ไลน์ซักผ้าเข้มข้นดีลักซ์.ดำ,liquid detergent,1.0
72,โก๋แก่ถั่วลิสงเคลือบอบรสไก่,nuts and seed snacks,1.0
73,แพนทีนครีมนวดโทเทิลดาเมจแคร์,hair conditioner,1.0
74,ไลปอนเอฟล้างจานเจแปนนีสพีช,dish detergent,1.0
75,โค้กซีโร่,cola,1.0
76,คาร์เนชั่นพลัสนมข้นหวานหลอดบีบ,condensed milk,1.0
77,แบรนด์รังนกแท้สูตรน้ำตาลน้อย,bird's nest,1.0
78,ฟาเกอร์ครีมสีผมบลอนด์อ่อนสว่าง(/),hair coloring,1.0
79,อิงอรสบู่ส้มมะละกอ,bar soap,1.0
